X;Y;fid;id;sequence;trajectory_id;tracker;t
116.388975;39.889452;98;98;98;1;19;2008-12-11 04:50:06+00
116.389023;39.889363;99;99;99;1;19;2008-12-11 04:51:08+00
116.389088;39.889278;100;100;100;1;19;2008-12-11 04:51:11+00
116.389172;39.889243;101;101;101;1;19;2008-12-11 04:51:13+00
116.389273;39.889223;102;102;102;1;19;2008-12-11 04:51:15+00
116.389363;39.8892;103;103;103;1;19;2008-12-11 04:51:16+00
116.389522;39.889212;104;104;104;1;19;2008-12-11 04:51:18+00
116.389717;39.889222;105;105;105;1;19;2008-12-11 04:51:20+00
116.389812;39.889223;106;106;106;1;19;2008-12-11 04:51:21+00
116.389997;39.88924;107;107;107;1;19;2008-12-11 04:51:23+00
116.3901;39.889255;108;108;108;1;19;2008-12-11 04:51:24+00
116.39027;39.88926;109;109;109;1;19;2008-12-11 04:51:26+00
116.390428;39.889268;110;110;110;1;19;2008-12-11 04:51:28+00
116.390593;39.88927;111;111;111;1;19;2008-12-11 04:51:30+00
116.39076;39.889277;112;112;112;1;19;2008-12-11 04:51:32+00
116.390932;39.889288;113;113;113;1;19;2008-12-11 04:51:34+00
116.391105;39.889328;114;114;114;1;19;2008-12-11 04:51:36+00
116.391192;39.889365;115;115;115;1;19;2008-12-11 04:51:37+00
116.39128;39.889413;116;116;116;1;19;2008-12-11 04:51:38+00
116.391453;39.889465;117;117;117;1;19;2008-12-11 04:51:40+00
116.391622;39.889492;118;118;118;1;19;2008-12-11 04:51:42+00
116.391747;39.889482;119;119;119;1;19;2008-12-11 04:51:44+00
116.391855;39.88948;120;120;120;1;19;2008-12-11 04:51:46+00
116.391948;39.889477;121;121;121;1;19;2008-12-11 04:51:49+00
116.392058;39.889457;122;122;122;1;19;2008-12-11 04:51:52+00
116.39212;39.88935;123;123;123;1;19;2008-12-11 04:51:55+00
116.392137;39.889238;124;124;124;1;19;2008-12-11 04:51:57+00
116.392115;39.889078;125;125;125;1;19;2008-12-11 04:51:59+00
116.392135;39.888913;126;126;126;1;19;2008-12-11 04:52:01+00
116.392167;39.888733;127;127;127;1;19;2008-12-11 04:52:03+00
116.392185;39.888643;128;128;128;1;19;2008-12-11 04:52:04+00
116.392225;39.888463;129;129;129;1;19;2008-12-11 04:52:06+00
116.392247;39.888373;130;130;130;1;19;2008-12-11 04:52:07+00
116.392275;39.88822;131;131;131;1;19;2008-12-11 04:52:09+00
116.392282;39.888057;132;132;132;1;19;2008-12-11 04:52:11+00
116.39229;39.887937;133;133;133;1;19;2008-12-11 04:52:13+00
116.392303;39.887842;134;134;134;1;19;2008-12-11 04:52:14+00
116.392278;39.887693;135;135;135;1;19;2008-12-11 04:52:16+00
116.392255;39.887565;136;136;136;1;19;2008-12-11 04:52:18+00
116.392248;39.88742;137;137;137;1;19;2008-12-11 04:52:20+00
116.392242;39.887267;138;138;138;1;19;2008-12-11 04:52:22+00
116.392248;39.887082;139;139;139;1;19;2008-12-11 04:52:24+00
116.392247;39.886908;140;140;140;1;19;2008-12-11 04:52:26+00
116.392253;39.886723;141;141;141;1;19;2008-12-11 04:52:28+00
116.39225;39.88656;142;142;142;1;19;2008-12-11 04:52:30+00
116.392242;39.886393;143;143;143;1;19;2008-12-11 04:52:32+00
116.392245;39.886297;144;144;144;1;19;2008-12-11 04:52:33+00
116.392247;39.886207;145;145;145;1;19;2008-12-11 04:52:34+00
116.392245;39.886097;146;146;146;1;19;2008-12-11 04:52:35+00
116.392248;39.885998;147;147;147;1;19;2008-12-11 04:52:36+00
116.392258;39.8859;148;148;148;1;19;2008-12-11 04:52:37+00
116.39227;39.8858;149;149;149;1;19;2008-12-11 04:52:38+00
116.392282;39.885698;150;150;150;1;19;2008-12-11 04:52:39+00
116.39229;39.885588;151;151;151;1;19;2008-12-11 04:52:40+00
116.392295;39.885492;152;152;152;1;19;2008-12-11 04:52:41+00
116.392303;39.885395;153;153;153;1;19;2008-12-11 04:52:42+00
116.392312;39.8853;154;154;154;1;19;2008-12-11 04:52:43+00
116.392325;39.885133;155;155;155;1;19;2008-12-11 04:52:45+00
116.392357;39.884988;156;156;156;1;19;2008-12-11 04:52:47+00
116.39238;39.884833;157;157;157;1;19;2008-12-11 04:52:49+00
116.392395;39.884692;158;158;158;1;19;2008-12-11 04:52:51+00
116.392398;39.88457;159;159;159;1;19;2008-12-11 04:52:53+00
116.392417;39.884453;160;160;160;1;19;2008-12-11 04:52:55+00
116.392427;39.884358;161;161;161;1;19;2008-12-11 04:52:57+00
116.39245;39.884243;162;162;162;1;19;2008-12-11 04:52:59+00
116.392478;39.884133;163;163;163;1;19;2008-12-11 04:53:01+00
116.3925;39.884012;164;164;164;1;19;2008-12-11 04:53:04+00
116.392518;39.88391;165;165;165;1;19;2008-12-11 04:53:06+00
116.392533;39.883817;166;166;166;1;19;2008-12-11 04:53:08+00
116.392545;39.883713;167;167;167;1;19;2008-12-11 04:53:10+00
116.392548;39.883583;168;168;168;1;19;2008-12-11 04:53:13+00
116.392555;39.883478;169;169;169;1;19;2008-12-11 04:53:15+00
116.392563;39.883362;170;170;170;1;19;2008-12-11 04:53:17+00
116.392575;39.883238;171;171;171;1;19;2008-12-11 04:53:19+00
116.392588;39.883112;172;172;172;1;19;2008-12-11 04:53:21+00
116.392597;39.882972;173;173;173;1;19;2008-12-11 04:53:23+00
116.392605;39.88283;174;174;174;1;19;2008-12-11 04:53:25+00
116.39262;39.882678;175;175;175;1;19;2008-12-11 04:53:27+00
116.392632;39.88253;176;176;176;1;19;2008-12-11 04:53:29+00
116.39264;39.882388;177;177;177;1;19;2008-12-11 04:53:31+00
116.392652;39.882272;178;178;178;1;19;2008-12-11 04:53:33+00
116.39265;39.882157;179;179;179;1;19;2008-12-11 04:53:35+00
116.392645;39.882055;180;180;180;1;19;2008-12-11 04:53:37+00
116.392635;39.881962;181;181;181;1;19;2008-12-11 04:53:39+00
116.392628;39.881863;182;182;182;1;19;2008-12-11 04:53:41+00
116.392623;39.881765;183;183;183;1;19;2008-12-11 04:53:43+00
116.392625;39.881665;184;184;184;1;19;2008-12-11 04:53:45+00
116.392633;39.881552;185;185;185;1;19;2008-12-11 04:53:47+00
116.392642;39.881442;186;186;186;1;19;2008-12-11 04:53:49+00
116.392648;39.881323;187;187;187;1;19;2008-12-11 04:53:51+00
116.392653;39.881207;188;188;188;1;19;2008-12-11 04:53:53+00
116.39266;39.881075;189;189;189;1;19;2008-12-11 04:53:55+00
116.392667;39.880967;190;190;190;1;19;2008-12-11 04:53:57+00
116.392667;39.88086;191;191;191;1;19;2008-12-11 04:53:59+00
116.392668;39.880758;192;192;192;1;19;2008-12-11 04:54:01+00
116.392678;39.880637;193;193;193;1;19;2008-12-11 04:54:03+00
116.392688;39.880505;194;194;194;1;19;2008-12-11 04:54:05+00
116.392697;39.880373;195;195;195;1;19;2008-12-11 04:54:07+00
116.392708;39.880257;196;196;196;1;19;2008-12-11 04:54:09+00
116.392717;39.880145;197;197;197;1;19;2008-12-11 04:54:11+00
116.392723;39.880028;198;198;198;1;19;2008-12-11 04:54:13+00
116.392727;39.87992;199;199;199;1;19;2008-12-11 04:54:15+00
116.392727;39.879812;200;200;200;1;19;2008-12-11 04:54:17+00
116.392728;39.879708;201;201;201;1;19;2008-12-11 04:54:19+00
116.392737;39.879613;202;202;202;1;19;2008-12-11 04:54:21+00
116.392747;39.879513;203;203;203;1;19;2008-12-11 04:54:23+00
116.392755;39.879407;204;204;204;1;19;2008-12-11 04:54:26+00
116.392728;39.879317;205;205;205;1;19;2008-12-11 04:54:29+00
116.392672;39.879232;206;206;206;1;19;2008-12-11 04:54:33+00
116.39259;39.879165;207;207;207;1;19;2008-12-11 04:54:36+00
116.392492;39.87914;208;208;208;1;19;2008-12-11 04:54:39+00
116.392507;39.879013;209;209;209;1;19;2008-12-11 04:54:43+00
116.392527;39.878923;210;210;210;1;19;2008-12-11 04:54:46+00
116.392557;39.878818;211;211;211;1;19;2008-12-11 04:54:50+00
116.39255;39.87872;212;212;212;1;19;2008-12-11 04:54:56+00
116.392542;39.878618;213;213;213;1;19;2008-12-11 04:55:03+00
116.392493;39.878532;214;214;214;1;19;2008-12-11 04:55:08+00
116.392397;39.87848;215;215;215;1;19;2008-12-11 04:55:13+00
116.39232;39.878573;216;216;216;1;19;2008-12-11 04:55:21+00
116.392225;39.87849;217;217;217;1;19;2008-12-11 04:55:48+00
116.392125;39.878423;218;218;218;1;19;2008-12-11 04:55:50+00
116.392017;39.87834;219;219;219;1;19;2008-12-11 04:55:52+00
116.39189;39.878213;220;220;220;1;19;2008-12-11 04:55:54+00
116.391832;39.878137;221;221;221;1;19;2008-12-11 04:55:55+00
116.391738;39.878038;222;222;222;1;19;2008-12-11 04:55:56+00
116.391713;39.8779;223;223;223;1;19;2008-12-11 04:55:57+00
116.391662;39.877825;224;224;224;1;19;2008-12-11 04:55:58+00
116.391612;39.87773;225;225;225;1;19;2008-12-11 04:55:59+00
116.391593;39.8776;226;226;226;1;19;2008-12-11 04:56:00+00
116.391595;39.877488;227;227;227;1;19;2008-12-11 04:56:01+00
116.391558;39.877322;228;228;228;1;19;2008-12-11 04:56:03+00
116.391545;39.87715;229;229;229;1;19;2008-12-11 04:56:05+00
116.391553;39.877055;230;230;230;1;19;2008-12-11 04:56:06+00
116.391568;39.87696;231;231;231;1;19;2008-12-11 04:56:07+00
116.391595;39.876787;232;232;232;1;19;2008-12-11 04:56:09+00
116.391617;39.876618;233;233;233;1;19;2008-12-11 04:56:11+00
116.391628;39.876452;234;234;234;1;19;2008-12-11 04:56:13+00
116.39164;39.876278;235;235;235;1;19;2008-12-11 04:56:15+00
116.391655;39.87611;236;236;236;1;19;2008-12-11 04:56:17+00
116.391672;39.87595;237;237;237;1;19;2008-12-11 04:56:19+00
116.391688;39.875793;238;238;238;1;19;2008-12-11 04:56:21+00
116.391702;39.875653;239;239;239;1;19;2008-12-11 04:56:23+00
116.391712;39.875532;240;240;240;1;19;2008-12-11 04:56:25+00
116.39173;39.87542;241;241;241;1;19;2008-12-11 04:56:27+00
116.391735;39.875297;242;242;242;1;19;2008-12-11 04:56:29+00
116.391737;39.875173;243;243;243;1;19;2008-12-11 04:56:31+00
116.391735;39.875043;244;244;244;1;19;2008-12-11 04:56:33+00
116.391733;39.874907;245;245;245;1;19;2008-12-11 04:56:35+00
116.391738;39.874763;246;246;246;1;19;2008-12-11 04:56:37+00
116.391742;39.874618;247;247;247;1;19;2008-12-11 04:56:39+00
116.391743;39.874462;248;248;248;1;19;2008-12-11 04:56:41+00
116.391743;39.8743;249;249;249;1;19;2008-12-11 04:56:43+00
116.391747;39.874153;250;250;250;1;19;2008-12-11 04:56:45+00
116.39175;39.874008;251;251;251;1;19;2008-12-11 04:56:47+00
116.39175;39.873868;252;252;252;1;19;2008-12-11 04:56:49+00
116.391755;39.873732;253;253;253;1;19;2008-12-11 04:56:51+00
116.391763;39.873593;254;254;254;1;19;2008-12-11 04:56:53+00
116.391778;39.873453;255;255;255;1;19;2008-12-11 04:56:55+00
116.391797;39.873312;256;256;256;1;19;2008-12-11 04:56:57+00
116.391827;39.873173;257;257;257;1;19;2008-12-11 04:56:59+00
116.391868;39.873038;258;258;258;1;19;2008-12-11 04:57:01+00
116.391912;39.872935;259;259;259;1;19;2008-12-11 04:57:03+00
116.391958;39.872825;260;260;260;1;19;2008-12-11 04:57:06+00
116.392032;39.872753;261;261;261;1;19;2008-12-11 04:57:28+00
116.392067;39.87267;262;262;262;1;19;2008-12-11 04:57:30+00
116.392105;39.872585;263;263;263;1;19;2008-12-11 04:57:32+00
116.39215;39.87249;264;264;264;1;19;2008-12-11 04:57:34+00
116.392208;39.872387;265;265;265;1;19;2008-12-11 04:57:36+00
116.392248;39.8723;266;266;266;1;19;2008-12-11 04:57:37+00
116.39231;39.87217;267;267;267;1;19;2008-12-11 04:57:39+00
116.392367;39.872032;268;268;268;1;19;2008-12-11 04:57:41+00
116.392412;39.871892;269;269;269;1;19;2008-12-11 04:57:43+00
116.392447;39.871742;270;270;270;1;19;2008-12-11 04:57:45+00
116.392463;39.871578;271;271;271;1;19;2008-12-11 04:57:47+00
116.392467;39.871405;272;272;272;1;19;2008-12-11 04:57:49+00
116.392463;39.871242;273;273;273;1;19;2008-12-11 04:57:51+00
116.392457;39.871083;274;274;274;1;19;2008-12-11 04:57:53+00
116.392445;39.870917;275;275;275;1;19;2008-12-11 04:57:55+00
116.392447;39.870747;276;276;276;1;19;2008-12-11 04:57:57+00
116.392453;39.870578;277;277;277;1;19;2008-12-11 04:57:59+00
116.39246;39.870487;278;278;278;1;19;2008-12-11 04:58:00+00
116.39247;39.870395;279;279;279;1;19;2008-12-11 04:58:01+00
116.392477;39.870305;280;280;280;1;19;2008-12-11 04:58:02+00
116.392485;39.870127;281;281;281;1;19;2008-12-11 04:58:04+00
116.392485;39.869957;282;282;282;1;19;2008-12-11 04:58:06+00
116.39248;39.869795;283;283;283;1;19;2008-12-11 04:58:08+00
116.392475;39.869635;284;284;284;1;19;2008-12-11 04:58:10+00
116.392505;39.86955;285;285;285;1;19;2008-12-11 04:58:11+00
116.392547;39.86939;286;286;286;1;19;2008-12-11 04:58:13+00
116.392637;39.869238;287;287;287;1;19;2008-12-11 04:58:15+00
116.392685;39.869153;288;288;288;1;19;2008-12-11 04:58:16+00
116.392733;39.869072;289;289;289;1;19;2008-12-11 04:58:17+00
116.392785;39.868992;290;290;290;1;19;2008-12-11 04:58:18+00
116.39284;39.868908;291;291;291;1;19;2008-12-11 04:58:19+00
116.392897;39.868827;292;292;292;1;19;2008-12-11 04:58:20+00
116.39295;39.868742;293;293;293;1;19;2008-12-11 04:58:21+00
116.393;39.868657;294;294;294;1;19;2008-12-11 04:58:22+00
116.393038;39.868573;295;295;295;1;19;2008-12-11 04:58:23+00
116.393068;39.868485;296;296;296;1;19;2008-12-11 04:58:24+00
116.393102;39.868393;297;297;297;1;19;2008-12-11 04:58:25+00
116.39313;39.868307;298;298;298;1;19;2008-12-11 04:58:26+00
116.393152;39.868218;299;299;299;1;19;2008-12-11 04:58:27+00
116.393168;39.868128;300;300;300;1;19;2008-12-11 04:58:28+00
116.393178;39.868035;301;301;301;1;19;2008-12-11 04:58:29+00
116.393188;39.867938;302;302;302;1;19;2008-12-11 04:58:30+00
116.393195;39.867843;303;303;303;1;19;2008-12-11 04:58:31+00
116.3932;39.867748;304;304;304;1;19;2008-12-11 04:58:32+00
116.393205;39.867652;305;305;305;1;19;2008-12-11 04:58:33+00
116.393215;39.867562;306;306;306;1;19;2008-12-11 04:58:34+00
116.393208;39.867462;307;307;307;1;19;2008-12-11 04:58:35+00
116.393207;39.867288;308;308;308;1;19;2008-12-11 04:58:37+00
116.39321;39.867112;309;309;309;1;19;2008-12-11 04:58:39+00
116.393222;39.86694;310;310;310;1;19;2008-12-11 04:58:41+00
116.393228;39.86685;311;311;311;1;19;2008-12-11 04:58:42+00
116.39324;39.866677;312;312;312;1;19;2008-12-11 04:58:44+00
116.393248;39.866517;313;313;313;1;19;2008-12-11 04:58:46+00
116.393248;39.86639;314;314;314;1;19;2008-12-11 04:58:48+00
116.393245;39.866255;315;315;315;1;19;2008-12-11 04:58:50+00
116.393238;39.866133;316;316;316;1;19;2008-12-11 04:58:52+00
116.393235;39.866005;317;317;317;1;19;2008-12-11 04:58:54+00
116.393237;39.865868;318;318;318;1;19;2008-12-11 04:58:56+00
116.393237;39.86573;319;319;319;1;19;2008-12-11 04:58:58+00
116.393235;39.865593;320;320;320;1;19;2008-12-11 04:59:00+00
116.393235;39.865458;321;321;321;1;19;2008-12-11 04:59:02+00
116.393238;39.865323;322;322;322;1;19;2008-12-11 04:59:04+00
116.393242;39.865185;323;323;323;1;19;2008-12-11 04:59:06+00
116.393245;39.865053;324;324;324;1;19;2008-12-11 04:59:08+00
116.393243;39.86492;325;325;325;1;19;2008-12-11 04:59:10+00
116.393252;39.864793;326;326;326;1;19;2008-12-11 04:59:12+00
116.393248;39.864668;327;327;327;1;19;2008-12-11 04:59:14+00
116.393265;39.864563;328;328;328;1;19;2008-12-11 04:59:16+00
116.393272;39.864473;329;329;329;1;19;2008-12-11 04:59:18+00
116.393283;39.864373;330;330;330;1;19;2008-12-11 04:59:21+00
116.393313;39.864265;331;331;331;1;19;2008-12-11 04:59:56+00
116.393327;39.864157;332;332;332;1;19;2008-12-11 04:59:59+00
116.393335;39.86406;333;333;333;1;19;2008-12-11 05:00:01+00
116.393347;39.86395;334;334;334;1;19;2008-12-11 05:00:03+00
116.393357;39.86383;335;335;335;1;19;2008-12-11 05:00:05+00
116.393367;39.863702;336;336;336;1;19;2008-12-11 05:00:07+00
116.393377;39.863562;337;337;337;1;19;2008-12-11 05:00:09+00
116.393383;39.86342;338;338;338;1;19;2008-12-11 05:00:11+00
116.393392;39.863287;339;339;339;1;19;2008-12-11 05:00:13+00
116.393407;39.863165;340;340;340;1;19;2008-12-11 05:00:15+00
116.393413;39.863048;341;341;341;1;19;2008-12-11 05:00:17+00
116.393403;39.862932;342;342;342;1;19;2008-12-11 05:00:19+00
116.393398;39.86283;343;343;343;1;19;2008-12-11 05:00:21+00
116.393392;39.8627;344;344;344;1;19;2008-12-11 05:00:24+00
116.393397;39.862595;345;345;345;1;19;2008-12-11 05:00:27+00
116.393373;39.862478;346;346;346;1;19;2008-12-11 05:00:31+00
116.39336;39.862378;347;347;347;1;19;2008-12-11 05:00:36+00
116.393458;39.862417;348;348;348;1;19;2008-12-11 05:00:41+00
116.393512;39.862513;349;349;349;1;19;2008-12-11 05:00:45+00
116.393553;39.862597;350;350;350;1;19;2008-12-11 05:00:51+00
116.393535;39.862685;351;351;351;1;19;2008-12-11 05:00:54+00
116.393538;39.86278;352;352;352;1;19;2008-12-11 05:00:59+00
116.393535;39.862883;353;353;353;1;19;2008-12-11 05:01:07+00
116.39351;39.862998;354;354;354;1;19;2008-12-11 05:01:16+00
116.393137;39.8634;355;355;355;1;19;2008-12-11 05:02:03+00
116.393083;39.863475;356;356;356;1;19;2008-12-11 05:02:16+00
116.393077;39.86357;357;357;357;1;19;2008-12-11 05:02:21+00
116.393072;39.863665;358;358;358;1;19;2008-12-11 05:02:32+00
116.393015;39.863737;359;359;359;1;19;2008-12-11 05:02:37+00
116.392992;39.863842;360;360;360;1;19;2008-12-11 05:02:42+00
116.392933;39.863767;361;361;361;1;19;2008-12-11 05:02:57+00
116.392892;39.863857;362;362;362;1;19;2008-12-11 05:06:01+00
116.392893;39.863952;363;363;363;1;19;2008-12-11 05:06:06+00
116.392807;39.863985;364;364;364;1;19;2008-12-11 05:06:21+00
116.39271;39.864008;365;365;365;1;19;2008-12-11 05:06:27+00
116.392603;39.863995;366;366;366;1;19;2008-12-11 05:06:31+00
116.392508;39.863975;367;367;367;1;19;2008-12-11 05:06:34+00
116.392387;39.863978;368;368;368;1;19;2008-12-11 05:06:37+00
116.392268;39.863968;369;369;369;1;19;2008-12-11 05:06:40+00
116.392165;39.863968;370;370;370;1;19;2008-12-11 05:06:43+00
116.39206;39.86397;371;371;371;1;19;2008-12-11 05:06:46+00
116.39195;39.863965;372;372;372;1;19;2008-12-11 05:06:49+00
116.391845;39.863965;373;373;373;1;19;2008-12-11 05:06:52+00
116.391745;39.863952;374;374;374;1;19;2008-12-11 05:06:55+00
116.391648;39.863923;375;375;375;1;19;2008-12-11 05:06:58+00
116.391552;39.863893;376;376;376;1;19;2008-12-11 05:07:01+00
116.391433;39.863857;377;377;377;1;19;2008-12-11 05:07:05+00
116.391313;39.863835;378;378;378;1;19;2008-12-11 05:07:08+00
116.391202;39.863823;379;379;379;1;19;2008-12-11 05:07:11+00
116.391088;39.863815;380;380;380;1;19;2008-12-11 05:07:14+00
116.390968;39.863797;381;381;381;1;19;2008-12-11 05:07:17+00
116.390843;39.863817;382;382;382;1;19;2008-12-11 05:07:19+00
116.39073;39.863805;383;383;383;1;19;2008-12-11 05:07:21+00
116.390628;39.863793;384;384;384;1;19;2008-12-11 05:07:23+00
116.390513;39.863812;385;385;385;1;19;2008-12-11 05:07:26+00
116.390403;39.863788;386;386;386;1;19;2008-12-11 05:07:30+00
116.390292;39.863833;387;387;387;1;19;2008-12-11 05:07:33+00
116.39019;39.863837;388;388;388;1;19;2008-12-11 05:07:36+00
116.390087;39.863843;389;389;389;1;19;2008-12-11 05:07:40+00
116.390003;39.86389;390;390;390;1;19;2008-12-11 05:08:04+00
116.389893;39.863912;391;391;391;1;19;2008-12-11 05:08:13+00
116.389803;39.863902;392;392;392;1;19;2008-12-11 05:08:17+00
116.389742;39.863825;393;393;393;1;19;2008-12-11 05:08:31+00
116.389673;39.863765;394;394;394;1;19;2008-12-11 05:08:36+00
116.389582;39.863803;395;395;395;1;19;2008-12-11 05:08:39+00
116.389497;39.863852;396;396;396;1;19;2008-12-11 05:08:42+00
116.389393;39.863887;397;397;397;1;19;2008-12-11 05:08:46+00
116.389298;39.863835;398;398;398;1;19;2008-12-11 05:08:51+00
